qid,pid,score
19335,1000959,12.0
19335,97739,9.0
19335,909822,9.0
19335,542347,9.0
19335,491120,9.0
19335,734245,8.0
19335,387427,8.0
19335,1000079,8.0
19335,45696,8.0
19335,775468,8.0
19335,373498,7.0
19335,208011,7.0
19335,37595,7.0
19335,55905,7.0
19335,385859,7.0
19335,996938,7.0
19335,734242,7.0
19335,418065,7.0
19335,430828,7.0
19335,617668,7.0
19335,186957,7.0
19335,332773,7.0
19335,526577,7.0
19335,166425,7.0
19335,317313,7.0
19335,463712,7.0
19335,89938,7.0
19335,949720,7.0
19335,452117,7.0
19335,903639,7.0
19335,36725,7.0
19335,571001,7.0
19335,947067,7.0
19335,20073,7.0
19335,493412,7.0
19335,499216,7.0
19335,1000109,7.0
19335,836259,7.0
19335,582605,6.0
19335,582606,6.0
19335,1002912,6.0
19335,501423,6.0
19335,496355,6.0
19335,1000113,6.0
19335,1002149,6.0
19335,211268,6.0
19335,401950,6.0
19335,923797,6.0
19335,430113,6.0
19335,377688,6.0
19335,547769,6.0
19335,544110,6.0
19335,858581,6.0
19335,17433,6.0
19335,534959,6.0
19335,68421,6.0
19335,68427,6.0
19335,734244,6.0
19335,922873,6.0
19335,415505,6.0
19335,913801,6.0
19335,307188,6.0
19335,745760,6.0
19335,736386,6.0
19335,330241,6.0
19335,467943,6.0
19335,307183,6.0
19335,944108,6.0
19335,119508,6.0
19335,965594,6.0
19335,211277,6.0
19335,582603,6.0
19335,567743,6.0
19335,116440,5.0
19335,572656,5.0
19335,570010,5.0
19335,617270,5.0
19335,607024,5.0
19335,202542,5.0
19335,584350,5.0
19335,608609,5.0
19335,870117,5.0
19335,797349,5.0
19335,210843,5.0
19335,247764,5.0
19335,329678,5.0
19335,736389,5.0
19335,736392,5.0
19335,554424,5.0
19335,521005,5.0
19335,1000087,5.0
19335,1000046,5.0
19335,329672,5.0
19335,677297,5.0
19335,324178,5.0
19335,978229,5.0
19335,338960,5.0
19335,297455,5.0
19335,952696,5.0
19335,736388,5.0
19335,733380,5.0
19335,989392,5.0
19335,989393,5.0
19335,905057,5.0
19335,469975,5.0
19335,1000130,5.0
19335,651614,5.0
19335,481458,5.0
19335,440587,5.0
19335,377685,5.0
19335,582602,5.0
19335,93388,5.0
19335,93371,5.0
19335,172611,5.0
19335,703497,5.0
19335,166423,5.0
19335,350434,5.0
19335,78970,5.0
19335,722761,5.0
19335,718964,5.0
19335,718966,5.0
19335,711765,5.0
19335,377682,5.0
19335,37174,5.0
19335,772232,5.0
19335,767292,5.0
19335,262137,5.0
19335,516611,5.0
19335,114024,5.0
19335,826930,4.0
19335,808002,4.0
19335,828187,4.0
19335,802366,4.0
19335,829264,4.0
19335,797352,4.0
19335,870118,4.0
19335,602432,4.0
19335,602405,4.0
19335,44766,4.0
19335,45692,4.0
19335,7242,4.0
19335,589160,4.0
19335,607460,4.0
19335,104939,4.0
19335,604294,4.0
19335,606492,4.0
19335,605825,4.0
19335,105296,4.0
19335,870895,4.0
19335,598997,4.0
19335,590821,4.0
19335,239921,4.0
19335,240330,4.0
19335,236477,4.0
19335,236090,4.0
19335,236094,4.0
19335,236095,4.0
19335,230714,4.0
19335,230718,4.0
19335,772228,4.0
19335,8554,4.0
19335,211272,4.0
19335,237919,4.0
19335,238498,4.0
19335,44764,4.0
19335,54405,4.0
19335,56230,4.0
19335,790111,4.0
19335,791266,4.0
19335,783581,4.0
19335,771851,4.0
19335,820470,4.0
19335,44006,4.0
19335,42693,4.0
19335,44769,4.0
19335,382331,4.0
19335,384360,4.0
19335,378532,4.0
19335,380824,4.0
19335,381909,4.0
19335,381768,4.0
19335,377684,4.0
19335,722764,4.0
19335,844899,4.0
19335,381643,4.0
19335,366867,4.0
19335,366773,4.0
19335,366774,4.0
19335,366775,4.0
19335,937853,4.0
19335,364008,4.0
19335,76093,4.0
19335,940353,4.0
19335,348584,4.0
19335,350441,4.0
19335,184959,4.0
19335,374592,4.0
19335,368228,4.0
19335,369946,4.0
19335,925398,4.0
19335,406257,4.0
19335,925389,4.0
19335,402778,4.0
19335,166420,4.0
19335,166421,4.0
19335,703362,4.0
19335,708104,4.0
19335,702522,4.0
19335,702524,4.0
19335,702181,4.0
19335,847431,4.0
19335,413013,4.0
19335,398106,4.0
19335,930535,4.0
19335,175860,4.0
19335,80373,4.0
19335,81783,4.0
19335,84706,4.0
19335,377686,4.0
19335,373185,4.0
19335,373569,4.0
19335,172320,4.0
19335,444900,4.0
19335,446404,4.0
19335,440264,4.0
19335,915556,4.0
19335,434931,4.0
19335,434758,4.0
19335,457729,4.0
19335,430109,4.0
19335,430825,4.0
19335,428544,4.0
19335,418158,4.0
19335,162332,4.0
19335,923337,4.0
19335,924461,4.0
19335,698654,4.0
19335,85694,4.0
19335,697225,4.0
19335,849523,4.0
19335,679463,4.0
19335,166426,4.0
19335,923340,4.0
19335,415511,4.0
19335,923794,4.0
19335,923796,4.0
19335,734240,4.0
19335,730320,4.0
19335,724433,4.0
19335,359653,4.0
19335,354507,4.0
19335,736391,4.0
19335,68195,4.0
19335,186453,4.0
19335,978235,4.0
19335,340030,4.0
19335,322092,4.0
19335,317341,4.0
19335,949999,4.0
19335,307182,4.0
19335,467053,4.0
19335,469979,4.0
19335,462952,4.0
19335,462701,4.0
19335,464888,4.0
19335,460609,4.0
19335,669041,4.0
19335,854489,4.0
19335,655148,4.0
19335,654841,4.0
19335,654719,4.0
19335,656212,4.0
19335,150398,4.0
19335,911923,4.0
19335,447703,4.0
19335,449894,4.0
19335,913799,4.0
19335,913800,4.0
19335,458179,4.0
19335,907634,4.0
19335,909971,4.0
19335,453720,4.0
19335,454482,4.0
19335,451256,4.0
19335,451597,4.0
19335,141506,4.0
19335,141508,4.0
19335,488590,4.0
19335,482026,4.0
19335,901981,4.0
19335,478334,4.0
19335,480052,4.0
19335,858579,4.0
19335,858583,4.0
19335,648325,4.0
19335,1000096,4.0
19335,492099,4.0
19335,903643,4.0
19335,903055,4.0
19335,904139,4.0
19335,471248,4.0
19335,460541,4.0
19335,906761,4.0
19335,989388,4.0
19335,147009,4.0
19335,903636,4.0
19335,515292,4.0
19335,516437,4.0
19335,516088,4.0
19335,513449,4.0
19335,509095,4.0
19335,895697,4.0
19335,137341,4.0
19335,92474,4.0
19335,640815,4.0
19335,641375,4.0
19335,642184,4.0
19335,643334,4.0
19335,645865,4.0
19335,638469,4.0
19335,492153,4.0
19335,1000106,4.0
19335,1000069,4.0
19335,1000070,4.0
19335,1000072,4.0
19335,502513,4.0
19335,501588,4.0
19335,497367,4.0
19335,494405,4.0
19335,329673,4.0
19335,190671,4.0
19335,319139,4.0
19335,747776,4.0
19335,837435,4.0
19335,745378,4.0
19335,838776,4.0
19335,839169,4.0
19335,950658,4.0
19335,195010,4.0
19335,300537,4.0
19335,300539,4.0
19335,300540,4.0
19335,300541,4.0
19335,298111,4.0
19335,284842,4.0
19335,284844,4.0
19335,956391,4.0
19335,286626,4.0
19335,284845,4.0
19335,284847,4.0
19335,284042,4.0
19335,284050,4.0
19335,534961,4.0
19335,535876,4.0
19335,533504,4.0
19335,534110,4.0
19335,887519,4.0
19335,530424,4.0
19335,1000002,4.0
19335,1000003,4.0
19335,1000008,4.0
19335,1000009,4.0
19335,1000015,4.0
19335,1000016,4.0
19335,631639,4.0
19335,632187,4.0
19335,132896,4.0
19335,1000089,4.0
19335,1000032,4.0
19335,1000039,4.0
19335,1000047,4.0
19335,1000058,4.0
19335,531040,4.0
19335,130006,4.0
19335,527394,4.0
19335,524171,4.0
19335,523948,4.0
19335,520182,4.0
19335,119289,4.0
19335,994947,4.0
19335,552956,4.0
19335,553020,4.0
19335,553023,4.0
19335,554500,4.0
19335,549544,4.0
19335,620565,4.0
19335,620569,4.0
19335,566655,4.0
19335,118538,4.0
19335,119515,4.0
19335,119517,4.0
19335,545395,4.0
19335,883236,4.0
19335,993676,4.0
19335,627906,4.0
19335,620553,4.0
19335,993986,4.0
19335,122951,4.0
19335,122952,4.0
19335,33245,4.0
19335,549080,4.0
19335,542918,4.0
19335,607027,4.0
19335,585652,4.0
19335,585656,4.0
19335,109316,4.0
19335,110727,4.0
19335,112162,4.0
19335,99293,4.0
19335,998710,4.0
19335,613560,4.0
19335,613897,4.0
19335,611284,4.0
19335,611861,4.0
19335,573201,4.0
19335,572655,4.0
19335,569964,4.0
19335,562416,4.0
19335,549213,4.0
19335,550290,4.0
19335,550295,4.0
19335,113574,4.0
19335,995200,4.0
19335,573458,4.0
19335,273460,4.0
19335,275415,4.0
19335,198474,4.0
19335,291110,4.0
19335,291118,4.0
19335,291084,4.0
19335,291576,4.0
19335,762548,4.0
19335,754708,4.0
19335,1003292,4.0
19335,201231,4.0
19335,201238,4.0
19335,280406,4.0
19335,247957,4.0
19335,244471,4.0
19335,58356,4.0
19335,60743,4.0
19335,769626,4.0
19335,234271,4.0
19335,228552,4.0
19335,256447,4.0
19335,245183,4.0
19335,246692,4.0
19335,247756,4.0
19335,226350,4.0
19335,226353,4.0
19335,224723,4.0
19335,222274,4.0
19335,223329,4.0
19335,223325,4.0
19335,223326,4.0
19335,820413,4.0
19335,223327,3.0
19335,214988,3.0
19335,216479,3.0
19335,29850,3.0
19335,217890,3.0
19335,217885,3.0
19335,224422,3.0
19335,224426,3.0
19335,972233,3.0
19335,220607,3.0
19335,222275,3.0
19335,213658,3.0
19335,970115,3.0
19335,226351,3.0
19335,226354,3.0
19335,971666,3.0
19335,223382,3.0
19335,229436,3.0
19335,229437,3.0
19335,229438,3.0
19335,973552,3.0
19335,211269,3.0
19335,213655,3.0
19335,794611,3.0
19335,795567,3.0
19335,795746,3.0
19335,797608,3.0
19335,1004111,3.0
19335,49871,3.0
19335,828186,3.0
19335,804100,3.0
19335,804812,3.0
19335,7603,3.0
19335,802657,3.0
19335,816230,3.0
19335,815778,3.0
19335,808490,3.0
19335,828204,3.0
19335,828210,3.0
19335,828216,3.0
19335,46969,3.0
19335,46610,3.0
19335,812966,3.0
19335,815670,3.0
19335,870121,3.0
19335,870122,3.0
19335,870124,3.0
19335,602546,3.0
19335,602404,3.0
19335,602191,3.0
19335,605553,3.0
19335,605045,3.0
19335,870119,3.0
19335,102422,3.0
19335,104084,3.0
19335,103383,3.0
19335,104935,3.0
19335,104936,3.0
19335,604116,3.0
19335,604604,3.0
19335,607411,3.0
19335,607174,3.0
19335,608668,3.0
19335,609323,3.0
19335,608643,3.0
19335,99718,3.0
19335,586812,3.0
19335,587790,3.0
19335,872877,3.0
19335,583157,3.0
19335,584354,3.0
19335,584357,3.0
19335,597586,3.0
19335,597587,3.0
19335,597554,3.0
19335,597555,3.0
19335,872124,3.0
19335,590065,3.0
19335,594226,3.0
19335,599539,3.0
19335,600598,3.0
19335,599830,3.0
19335,601243,3.0
19335,601973,3.0
19335,601975,3.0
19335,597612,3.0
19335,997563,3.0
19335,105915,3.0
19335,105300,3.0
19335,107858,3.0
19335,108933,3.0
19335,108939,3.0
19335,582607,3.0
19335,581958,3.0
19335,876325,3.0
19335,579079,3.0
19335,578547,3.0
19335,114027,3.0
19335,874856,3.0
19335,582642,3.0
19335,582598,3.0
19335,582600,3.0
19335,582601,3.0
19335,997386,3.0
19335,110540,3.0
19335,112009,3.0
19335,875701,3.0
19335,583618,3.0
19335,583621,3.0
19335,584724,3.0
19335,584464,3.0
19335,585175,3.0
19335,997490,3.0
19335,607157,3.0
19335,607861,3.0
19335,607862,3.0
19335,607866,3.0
19335,607675,3.0
19335,613538,3.0
19335,614251,3.0
19335,614838,3.0
19335,609470,3.0
19335,610824,3.0
19335,95755,3.0
19335,999062,3.0
19335,998979,3.0
19335,96859,3.0
19335,613536,3.0
19335,616172,3.0
19335,616059,3.0
19335,615795,3.0
19335,617269,3.0
19335,617271,3.0
19335,617273,3.0
19335,617275,3.0
19335,569244,3.0
19335,878340,3.0
19335,879713,3.0
19335,563097,3.0
19335,564268,3.0
19335,573090,3.0
19335,567427,3.0
19335,878989,3.0
19335,567753,3.0
19335,573527,3.0
19335,574975,3.0
19335,576363,3.0
19335,571928,3.0
19335,571754,3.0
19335,573278,3.0
19335,116319,3.0
19335,117089,3.0
19335,995772,3.0
19335,995240,3.0
19335,573525,3.0
19335,555961,3.0
19335,16612,3.0
19335,549696,3.0
19335,551129,3.0
19335,553015,3.0
19335,553021,3.0
19335,554950,3.0
19335,121179,3.0
19335,120901,3.0
19335,557442,3.0
19335,559532,3.0
19335,559481,3.0
19335,560288,3.0
19335,560684,3.0
19335,120265,3.0
19335,121526,3.0
19335,619717,3.0
19335,620320,3.0
19335,614243,3.0
19335,865869,3.0
19335,865508,3.0
19335,615231,3.0
19335,622120,3.0
19335,623461,3.0
19335,624092,3.0
19335,618056,3.0
19335,618005,3.0
19335,618531,3.0
19335,93557,3.0
19335,93373,3.0
19335,94084,3.0
19335,96288,3.0
19335,864632,3.0
19335,621084,3.0
19335,627687,3.0
19335,627546,3.0
19335,627222,3.0
19335,1000018,3.0
19335,1000019,3.0
19335,1000025,3.0
19335,1000028,3.0
19335,541632,3.0
19335,541416,3.0
19335,542594,3.0
19335,542591,3.0
19335,993994,3.0
19335,993679,3.0
19335,543871,3.0
19335,544109,3.0
19335,544834,3.0
19335,546122,3.0
19335,884793,3.0
19335,125986,3.0
19335,882954,3.0
19335,547766,3.0
19335,547424,3.0
19335,548194,3.0
19335,123443,3.0
19335,123389,3.0
19335,124909,3.0
19335,125182,3.0
19335,534082,3.0
19335,533933,3.0
19335,527589,3.0
19335,529887,3.0
19335,530750,3.0
19335,536722,3.0
19335,531038,3.0
19335,531039,3.0
